time,cLi_avg,q_left
0,0,0
1,0.0084180075223852,-0.00010093213591795
2.5,0.014086107393652,-5.4281134246348e-05
4.75,0.019658142510887,-3.0935073859301e-05
7,0.023986550333789,-1.4156533291302e-05
10.375,0.029098382625588,4.2230130473145e-06
13.75,0.033386760148465,1.6671939791945e-05
18.8125,0.038705517527632,2.6700479179773e-05
23.875,0.04328077309216,3.1457542608766e-05
28.9375,0.047318510777226,3.3302853723794e-05
34,0.050945529028466,3.3574030644973e-05
41.59375,0.055706324957393,3.2475109702356e-05
49.1875,0.059946781576164,3.0805681841929e-05
56.78125,0.063774165823505,2.8997811718596e-05
64.375,0.067264308672122,2.7235880273089e-05
71.96875,0.070473023840556,2.5592429550925e-05
79.5625,0.07344274086604,2.4089353439509e-05
87.15625,0.076206569936204,2.2726087679569e-05
94.75,0.078790911306652,2.1492781460975e-05
102.34375,0.081217197545292,2.0376450598683e-05
113.734375,0.08455503686624,1.8910508956659e-05
125.125,0.087634732647227,1.7633061045651e-05
136.515625,0.090490920376926,1.6510713843297e-05
147.90625,0.093151602437814,1.5516787349276e-05
159.296875,0.095639741942302,1.4630080786664e-05
170.6875,0.09797441349794,1.3833704328053e-05
182.078125,0.10017164446671,1.3114111072401e-05
193.46875,0.10224503997307,1.2460341666977e-05
200,0.10339563193043,1.210810876206e-05
